id,author,title,genre,price,written,description
53,"Hughes, Rebecca",Exploring grammar in writing,Tables,19.95,2005-06-05,Fun book about History
54,"Walker, Carolyn",English for business studies in higher education,Mouse,29.5,2005-06-05,Fun book about Science
55,Encyclopedia of analytical chemistry,Encyclopedia of analytical chemistry,Fantasy,1.99,2004-01-12,Fun book Nature
56,"Vepa, Ranjan",Dynamics of smart structures,Sport,1.99,2004-01-12,Fun book Sport
57,"Cotton, David",Language leader,History,38.95,2005-06-05,Fun book News
58,"Carter, Ronald, 1947-2018",Exploring grammar in context,Science,38.95,2004-01-12,Fun book Tables
59,"Harrison, Louis",Achieve IELTS,Nature,1.95,2004-01-12,Fun book Mouse
60,"Lowe, Susan",Presenting,Sport,38.95,2004-01-12,Fun book Computers
61,mulitple authors,Longman photo dictionary,News,38.95,2005-06-05,This is a sampleBook
62,"Krois-Linder, Amy",International legal English,Tables,1.95,2004-01-12,This is a sampleBook
63,"Callanan, Helen",Absolute legal English,Mouse,29.5,2005-06-05,changing Book description
64,"Macfarlane, Michael",English practice grammar,Computers,29.5,2004-01-12,changing Book description
65,"Woolard, George",Key words for fluency,Fantasy,29.5,2005-06-05,About music
66,"Robbins, Sue",Collins COBUILD business vocabulary in practice,Sport,38.95,2004-01-12,Fun book Nature
67,"Folse, Keith S.",Great writing 2,History,4.99,2008-06-01,Fun book Sport
68,"Folse, Keith S.",Great writing 3,Science,39.95,2020-02-05,Fun book News
69,"Cushen, Caroline",Achieve IELTS 2,Nature,25,2019-03-01,Fun book Tables
70,"Black, Michael",Objective IELTS,Sport,39.95,2015-01-01,Fun book Mouse
71,"Herzfeld-Pipkin, Nancy",Destinations 2,News,39.95,2011-01-01,Fun book Computers
72,"Herzfeld-Pipkin, Nancy",Destinations 1,Tables,15,2008-01-01,This is a sampleBook
73,"McCarthy, Michael, 1947-",English phrasal verbs in use,Mouse,45,2001-01-01,This is a sampleBook
74,"Keller, Eric",Conversation gambits,Computers,69.99,2000-01-01,changing Book description
75,"Wilson, Paige",Writing essentials,Fantasy,19.95,1987-09-25,changing Book description
76,"King, David",Meetings,Sport,29.5,1999-05-22,About music
77,mulitple authors,Classical econophysics,History,1.99,1945-10-11,Fun book Mouse
78,"Hill, David A.",Academic connections 2,Science,38.95,2022-12-26,Fun book Computers
79,"Smith-Palinkas, Barbara",Key concepts 1,Nature,4.99,2022-12-26,This is a sampleBook
80,"Solomon, Elena Vestri",Key concepts 1,Sport,39.95,2008-06-01,This is a sampleBook
81,"Martinez, Ron",Conversation lessons,News,25,2008-06-01,changing Book description
82,Encyclopedia of analytical chemistry,Encyclopedia of analytical chemistry,Tables,39.95,2008-06-01,changing Book description
83,"Pavlik, Cheryl",Hot topics 2,Mouse,39.95,1999-08-13,About music
84,"Cotton, David",Market leader,Computers,15,1999-01-13,Fun book Nature
85,"Pratten, Julie",Absolute financial English,Fantasy,45,1991-05-15,Fun book Sport
86,"Beglar, David",Contemporary topics 3,Sport,69.99,2001-01-01,Fun book News
87,"Sharma, Pete",Reading the news,History,19.95,2008-06-01,Fun book Tables
88,mulitple authors,Integrated Chinese,Science,29.5,2020-02-05,Fun book about fantasy
89,"Black, Michael",Objective IELTS,Nature,1.99,2019-03-01,Fun book about sport
90,"Doff, Andrian",Language links,Fantasy,1.99,2015-01-01,Fun book about History
91,mulitple authors,Developing grounded theory,Sport,38.95,2011-01-01,Fun book about Science
92,"Kerridge, David",Basic business role plays,History,38.95,2008-01-01,Fun book Nature
93,"Leonhard, Barbara Harris",Discoveries in academic writing,Science,1.95,2001-01-01,Fun book Sport
94,"Mikulesky, Beatrice S.",Advanced reading power,Nature,1.99,2000-01-01,Fun book News
95,"McCarthy, Michael, 1947-",English phrasal verbs in use,Sport,38.95,1987-09-25,Fun book Tables
96,"Mol, Hans, 1961-",English for tourism and hospitality in higher education studies,News,38.95,1999-05-22,Fun book Mouse
97,"Pavlik, Cheryl",Hot topics 3,Tables,1.95,1945-10-11,Fun book Computers
98,"Thomas, Gary",How to Do Your Research Project,Mouse,38.95,2022-12-26,This is a sampleBook
99,Encyclopedia of analytical chemistry,Encyclopedia of analytical chemistry,Computers,1.95,2022-12-26,This is a sampleBook
100,mulitple authors,Reference manual on scientific evidence,Tutorial,29.5,2008-06-01,changing Book description
